"","Year","WeekNum","TotalCost","DigitalCost","TVCost","RadioCost","BillboardCost","OpenHouseCost","OutdoorCost","Inquiries"
"2",2017,26,122886.8,0,75445,45279,2162.8,0,0,73
"3",2017,27,136147.8,13261,75445,45279,2162.8,0,0,44
"4",2017,28,15423.8,13261,0,0,2162.8,0,0,67
"5",2017,29,15423.8,13261,0,0,2162.8,0,0,85
"6",2017,30,15423.8,13261,0,0,2162.8,0,0,73
"7",2017,31,161878.76,16206.25,74330,68639,2703.5,0,0,110
"8",2017,32,161641.26,15968.75,74330,68639,2703.5,0,0,72
"9",2017,33,19279.76,16576.25,0,0,2703.5,0,0,68
"10",2017,34,19279.76,16576.25,0,0,2703.5,0,0,81
"11",2017,35,104511.68,16576.25,48457,37673.67,1804.75,0,0,88
"12",2017,36,156485.68,16576.25,73260,64844.67,1804.75,0,0,58
"13",2017,37,156485.68,16576.25,94187.5,43917.17,1804.75,0,0,74
"14",2017,38,18381.01,16576.25,0,0,1804.75,0,0,126
"15",2017,39,14355.2,13261,0,0,1094.2,0,0,159
"16",2017,40,14355.2,13261,0,0,1094.2,0,0,150
"17",2017,41,81335.7,12069,43873,24299.5,1094.2,0,0,136
"18",2017,42,82527.7,13261,43873,24299.5,1094.2,0,0,118
"19",2017,43,14355.2,13261,0,0,1094.2,0,0,121
"20",2017,44,17944.01,16576.25,0,0,1367.75,0,0,109
"21",2017,45,6318.39,4950.625,0,0,1367.75,0,0,77
"22",2017,46,6318.39,4950.625,0,0,1367.75,0,0,72
"23",2017,47,6318.39,4950.625,0,0,1367.75,0,0,14
"24",2017,48,5054.7,3960.5,0,0,1094.2,0,0,65
"25",2017,49,15067.2,13973,0,0,1094.2,0,0,70
"26",2017,50,151563.2,10833,73312.5,66323.5,1094.2,0,0,67
"27",2017,51,153447.2,12717,73312.5,66323.5,1094.2,0,0,44
"28",2017,52,15067.2,13973,0,0,1094.2,0,0,26
"29",2018,1,17944.01,16576.25,0,0,1367.75,0,0,36
"30",2018,2,17944.01,16576.25,0,0,1367.75,0,0,53
"31",2018,3,32553.01,16576.25,4400,10209,1367.75,0,0,76
"32",2018,4,93026.01,16576.25,52800,22282,1367.75,0,0,93
"33",2018,5,155765.01,14341.25,71750,68306,1367.75,0,0,97
"34",2018,6,158000.01,16576.25,71750,68306,1367.75,0,0,98
"35",2018,7,17944.01,16576.25,0,0,1367.75,0,0,188
"36",2018,8,17944.01,16576.25,0,0,1367.75,0,0,163
"37",2018,9,30204.34,14341.25,4400,10095.33,1367.75,0,0,109
"38",2018,10,100402.34,16576.25,52800,29658.33,1367.75,0,0,132
"39",2018,11,100402.34,16576.25,52800,29658.33,1367.75,0,0,114
"40",2018,12,17944.01,16576.25,0,0,1367.75,0,0,118
"41",2018,13,14355.2,13261,0,0,1094.2,0,0,123
"42",2018,14,14355.2,13261,0,0,1094.2,0,0,80
"43",2018,15,84064.2,13261,39745,29964,1094.2,0,0,102
"44",2018,16,84064.2,13261,39745,29964,1094.2,0,0,132
"45",2018,17,14355.2,13261,0,0,1094.2,0,0,105
"46",2018,18,17944.01,16576.25,0,0,1367.75,0,0,67
"47",2018,19,6318.39,4950.625,0,0,1367.75,0,0,114
"48",2018,20,6318.39,4950.625,0,0,1367.75,0,0,84
"49",2018,21,6318.39,4950.625,0,0,1367.75,0,0,82
"50",2018,25,128290,12375.00000003,57591,52632,5692,0,0,118
"51",2018,26,185291.79,12375.00000003,93134,76714.99,1138.4,0,1929.4,97
